abolish v. C1 | kaldırmak, yürürlükten kaldırmak
abortion n. C1 | kürtaj
absence n. C1 | yokluk, bulunmama
absent adj. C1 | yok
absorb v. B2 | emmek
abstract adj. B2 | soyut, özet
absurd adj. C1 | saçma, absürt
abuse n., v. C1 | kötü muamele, istismar
academy n. C1 | akademi
accelerate v. C1 | hızlandırmak
accent n. B2 | aksan
acceptance n. C1 | kabul
accessible adj. C1 | erişilebilir
accidentally adv. B2 | kazara
accommodate v. B2 | barındırmak
accommodation n. B2 | konaklama
accomplish v. B2 | başarmak, tamamlamak
accomplishment n. C1 | başarı
accordingly adv. C1 | buna göre
accountability n. C1 | sorumluluk
accountable adj. C1 | sorumlu
accountant n. B2 | muhasebeci
accumulate v. C1 | biriktirmek
accumulation n. C1 | birikim
accuracy n. B2 | doğruluk
accurately adv. B2 | doğru bir şekilde
accusation n. C1 | suçlama
accused n. C1 | suçlanan
acid n. B2, adj. C1 | asit, asidik
acquisition n. C1 | edinme
acre n. B2 | dönüm
activate v. B2 | etkinleştirmek
activation n. C1 | etkinleştirme
activist n. C1 | aktivist
acute adj. C1 | akut
adaptation n. C1 | uyarlanma
addiction n. B2 | bağımlılık
additionally adv. B2 | ayrıca, ek olarak
adequate adj. B2 | yeterli
adequately adv. B2 | yeterli bir şekilde
adhere v. C1 | yapışmak
adjacent adj. C1 | yanı başındaki, bitişik
adjust v. B2 | ayarlamak, düzenlemek
adjustment n. C1 | düzenleme
administer v. C1 | idare etmek, yönetmek
administrative adj. C1 | idari
administrator n. C1 | yönetici
admission n. C1 | kabul, giriş
adolescent n. C1 | ergen
adoption n. C1 | evlatlık alma, benimseme
adverse adj. C1 | olumsuz, aksi
advocate n., v. C1 | savunucu, savunmak
aesthetic adj. C1 | estetik
affection n. C1 | sevgi, şefkat
affordable adj. B2 | uygun fiyatlı
aftermath n. C1 | sonuç, etki
aged adj. B2 | yaşlı, ihtiyar
aggression n. C1 | saldırganlık
agricultural adj. C1 | tarımsal
agriculture n. B2 | tarım
aide n. C1 | yardımcı
AIDS n. B2 | AIDS
alert v., n., adj. C1 | uyanık, alarm, uyarı
alien n. B2, adj. C1 | yabancı, uzaylı
align v. C1 | hizalamak, hizalama
alignment n. C1 | hizalama
alike adv., adj. C1 | benzer şekilde, benzer
allegation n. C1 | iddia, suçlama
allege v. C1 | iddia etmek, ileri sürmek
allegedly adv. C1 | iddia edildiğine göre
alliance n. C1 | ittifak, birlik
allocate v. C1 | tahsis etmek, paylaştırmak
allocation n. C1 | tahsis, dağıtım
allowance n. C1 | harçlık, izin
ally n. C1 | müttefik
alongside prep. B2 | yanı sıra, ile birlikte
altogether adv. B2 | tamamen, toplamda
aluminum n. C1 | alüminyum
amateur adj., n. C1 | amatör
ambassador n. C1 | elçi, büyükelçi
ambitious adj. B2 | hırslı
ambulance n. B2 | ambulans
amend v. C1 | düzeltmek, değiştirmek
amendment n. C1 | değişiklik, düzeltme
amid prep. C1 | ortasında, arasında
amusing adj. B2 | eğlenceli, komik
analogy n. C1 | benzetme, analoji
analyst n. B2 | analist, uzman
ancestor n. B2 | soy, ata
anchor n. C1 | çapa, demir
angel n. C1 | melek
animation n. B2 | animasyon, canlandırma
annually adv. B2 | yıllık olarak
anonymous adj. C1 | anonim, isimsiz
anticipate v. B2 | beklemek, tahmin etmek
anxiety n. B2 | kaygı, endişe
apology n. B2 | özür
